interval_start_time,CAISO_system_load,temp_forecast_dayahead_bakersfield,temp_forecast_dayahead_los_angeles,temp_forecast_dayahead_san_francisco,dewpoint_forecast_dayahead_bakersfield,dewpoint_forecast_dayahead_los_angeles,dewpoint_forecast_dayahead_san_francisco
2020-01-14 08:00:00-08:00,25242,41.3,50.3,50,36.3,45,43
2020-01-14 09:00:00-08:00,23923,43.7,51.7,51,36.7,45,42
2020-01-14 10:00:00-08:00,23035,46,53,52,37,45,41
2020-01-14 11:00:00-08:00,22395,48,54.3,52.3,37,45,40.7
2020-01-14 12:00:00-08:00,22170,50,55.7,52.7,37,45,40.3
2020-01-14 13:00:00-08:00,22300,52,57,53,37,45,40
2020-01-14 14:00:00-08:00,22823,52.7,56.3,52.7,37.7,46.7,40.3
2020-01-14 15:00:00-08:00,23907,53.3,55.7,52.3,38.3,48.3,40.7
2020-01-14 16:00:00-08:00,25657,53,56,54,39,50,41
2020-01-14 17:00:00-08:00,27813,50.7,55.3,53,39.3,49.7,41.7
2020-01-14 18:00:00-08:00,28164,48.3,54.7,52,39.7,49.3,42.3
2020-01-14 19:00:00-08:00,27711,46,54,51,40,49,43
2020-01-14 20:00:00-08:00,26929,45.3,53.7,50.3,40.7,48.3,42
2020-01-14 21:00:00-08:00,25494,44.7,53.3,49.7,41.3,47.7,41
2020-01-14 22:00:00-08:00,23665,44,53,49,42,47,40
2020-01-14 23:00:00-08:00,22101,43,52.7,48.7,41.7,47,40
2020-01-15 00:00:00-08:00,21075,42,52.3,48.3,41.3,47,40
2020-01-15 01:00:00-08:00,20469,41,52,48,41,47,40
2020-01-15 02:00:00-08:00,20223,40.7,51.3,47,40.3,46,39.7
2020-01-15 03:00:00-08:00,20405,40.3,50.7,46,39.7,45,39.3
2020-01-15 04:00:00-08:00,21376,40,50,45,39,44,39
2020-01-15 05:00:00-08:00,23361,38.7,49.3,45.3,38.7,44,39.3
2020-01-15 06:00:00-08:00,25882,37.3,48.7,45.7,38.3,44,39.7
2020-01-15 07:00:00-08:00,26867,36,48,46,38,44,40
2020-01-15 08:00:00-08:00,25989,37.3,49.7,47.3,38,43.7,40
2020-01-15 09:00:00-08:00,24593,38.7,51.3,48.7,38,43.3,40
2020-01-15 10:00:00-08:00,23481,40,53,50,38,43,40
2020-01-15 11:00:00-08:00,22776,43,54.3,51,39,44.3,40.3
2020-01-15 12:00:00-08:00,22512,46,55.7,52,40,45.7,40.7
2020-01-15 13:00:00-08:00,22986,49,57,53,41,47,41
2020-01-15 14:00:00-08:00,23228,50,56.3,53.3,41,48,41.3
2020-01-15 15:00:00-08:00,24271,51,55.7,53.7,41,49,41.7
2020-01-15 16:00:00-08:00,25948,53,56,54,41,50,42
2020-01-15 17:00:00-08:00,28045,51.7,55.3,53.7,41,50.3,42.7
2020-01-15 18:00:00-08:00,28457,50.3,54.7,53.3,41,50.7,43.3
2020-01-15 19:00:00-08:00,28019,49,54,53,41,51,44
2020-01-15 20:00:00-08:00,27240,49,53.7,52.7,40,50,43.3
2020-01-15 21:00:00-08:00,25862,49,53.3,52.3,39,49,42.7
2020-01-15 22:00:00-08:00,24060,49,53,52,38,48,42
